"","STATE","RACE","date","COVID_IMPUTED","NOCOVID_IMPUTED"
"329","NJ","Any other race alone or in combination","2020-03-14",185.284959738446,89406.7721149703
"330","NJ","Black alone","2020-03-14",337.414261671861,889222.584726011
"331","NJ","Hispanic","2020-03-14",584.197327135117,1317892.84357681
"332","NJ","White alone","2020-03-14",1427.18974350314,3959222.76787795
"333","NM","Any other race alone or in combination","2020-03-14",20.2087204894231,157436.46027751
"334","NM","Black alone","2020-03-14",16.0091,31258.3805444861
"335","NM","Hispanic","2020-03-14",16.0091,745619.119279309
"336","NM","White alone","2020-03-14",19.1614068808326,659409.466752353
"337","NV","Any other race alone or in combination","2020-03-14",51.4216033134412,97818.5807549436
"338","NV","Black alone","2020-03-14",38.9527611535907,213719.048385644
"339","NV","Hispanic","2020-03-14",68.9713599277857,615448.02762992
"340","NV","White alone","2020-03-14",125.341607741,1244134.6549442
"341","NY","Any other race alone or in combination","2020-03-14",551.827229895189,254740.17363545
"342","NY","Black alone","2020-03-14",454.261217730083,2209737.73877897
"343","NY","Hispanic","2020-03-14",491.388976637137,2743706.6108766
"344","NY","White alone","2020-03-14",1290.4982954767,8823271.50066357
"345","OH","Any other race alone or in combination","2020-03-14",114.25986672802,150513.317381162
"346","OH","Black alone","2020-03-14",89.82663,1091961.94243846
"347","OH","Hispanic","2020-03-14",89.82663,303206.628251249
"348","OH","White alone","2020-03-14",265.820414892695,7341349.16558257
"349","OK","Any other race alone or in combination","2020-03-14",48.8503451032632,376082.493204012
"350","OK","Black alone","2020-03-14",28.72328,218825.757845588
"351","OK","Hispanic","2020-03-14",28.72328,269957.971632889
"352","OK","White alone","2020-03-14",28.72328,2068157.84971329
"353","OR","Any other race alone or in combination","2020-03-14",51.4494218147102,136321.805460173
"354","OR","Black alone","2020-03-14",32.64649,61962.7537227528
"355","OR","Hispanic","2020-03-14",32.64649,373334.67673684
"356","OR","White alone","2020-03-14",73.3159200804107,2616158.16692307
"357","PA","Any other race alone or in combination","2020-03-14",137.586774944244,130943.4134219
"358","PA","Black alone","2020-03-14",117.262530314486,1049947.73754176
"359","PA","Hispanic","2020-03-14",117.262061432513,663639.738057781
"360","PA","White alone","2020-03-14",250.449138855038,7952290.55031835
"361","RI","Any other race alone or in combination","2020-03-14",18.9941436286977,16880.0058714662
"362","RI","Black alone","2020-03-14",15.5785571849383,49398.4214537541
"363","RI","Hispanic","2020-03-14",15.5814195976514,118399.418585007
"364","RI","White alone","2020-03-14",15.5830904875864,639656.416866244
"365","SC","Any other race alone or in combination","2020-03-14",50.5637918372222,62726.58803301
"366","SC","Black alone","2020-03-14",49.3553130032681,1034704.55674353
"367","SC","Hispanic","2020-03-14",39.92363,197752.71089513
"368","SC","White alone","2020-03-14",102.340472263661,2669993.22074309
"369","SD","Any other race alone or in combination","2020-03-14",9.27936610191806,55618.8049548533
